entry_signal,drop_level,exit_signal,buy_pct,alloc_base,alloc_x2,alloc_x3,cagr,worst_ann_ret,max_dd,passed,calmar
1.01,-0.01,0.94,0.1,0.1,0.75,0.25,9.7206,-28.7844,-63.834,True,0.1523
1.01,-0.01,0.94,0.1,0.1,1.0,0.0,9.5848,-25.6562,-58.8851,True,0.1628
1.01,-0.01,0.94,0.1,0.2,0.0,1.0,9.7111,-37.5237,-72.6597,True,0.1337
1.01,-0.01,0.94,0.1,0.2,0.25,0.75,9.8086,-34.9189,-69.4086,True,0.1413
1.01,-0.01,0.94,0.1,0.2,0.5,0.5,9.8423,-32.2758,-65.7437,True,0.1497
1.01,-0.01,0.94,0.1,0.2,0.75,0.25,9.8025,-29.6015,-61.639,True,0.159
1.01,-0.01,0.94,0.1,0.2,1.0,0.0,9.6869,-26.9032,-57.0465,True,0.1698
1.01,-0.01,0.94,0.1,0.3,0.0,1.0,9.9559,-37.1959,-69.3096,True,0.1436
1.01,-0.01,0.94,0.1,0.3,0.25,0.75,10.0074,-34.9866,-66.2584,True,0.151
1.01,-0.01,0.94,0.1,0.3,0.5,0.5,10.0067,-32.736,-62.8585,True,0.1592
1.01,-0.01,0.94,0.1,0.3,0.75,0.25,9.9465,-30.452,-59.083,True,0.1683
1.01,-0.01,0.94,0.1,0.3,1.0,0.0,9.8273,-28.1428,-54.8926,True,0.179
1.01,-0.01,0.94,0.2,0.0,0.0,1.0,9.3113,-41.0991,-80.8747,False,0.1151
1.01,-0.01,0.94,0.2,0.0,0.25,0.75,9.4773,-38.6789,-76.9485,True,0.1232
1.01,-0.01,0.94,0.2,0.0,0.5,0.5,9.5471,-36.0426,-72.6981,True,0.1313
1.01,-0.01,0.94,0.2,0.0,0.75,0.25,9.5181,-33.1439,-68.1102,True,0.1397
1.01,-0.01,0.94,0.2,0.0,1.0,0.0,9.3867,-29.9221,-62.8453,True,0.1494
1.01,-0.01,0.94,0.2,0.1,0.0,1.0,9.5363,-41.2227,-77.6349,False,0.1228
1.01,-0.01,0.94,0.2,0.1,0.25,0.75,9.6731,-38.8727,-73.9189,True,0.1309
1.01,-0.01,0.94,0.2,0.1,0.5,0.5,9.7147,-36.3309,-70.0897,True,0.1386
1.01,-0.01,0.94,0.2,0.1,0.75,0.25,9.6712,-33.5625,-65.7317,True,0.1471
1.01,-0.01,0.94,0.2,0.1,1.0,0.0,9.5392,-30.5249,-60.7742,True,0.157
